Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Orleans,2194,532,01/29/2021
Central New York,Oswego,9988,1845,01/29/2021
Mohawk Valley,Otsego,5661,2117,01/29/2021
Mid-Hudson,Putnam,7002,1487,01/29/2021
New York City,Queens,132666,27975,01/29/2021
Capital Region,Rensselaer,12918,3561,01/29/2021
New York City,Richmond,40022,6321,01/29/2021
Mid-Hudson,Rockland,25478,4621,01/29/2021
Capital Region,Saratoga,20224,4899,01/29/2021
Capital Region,Schenectady,12895,3717,01/29/2021
Mohawk Valley,Schoharie,1840,405,01/29/2021
Southern Tier,Schuyler,1574,388,01/29/2021
Finger Lakes,Seneca,2594,399,01/29/2021
North Country,St. Lawrence,13353,2631,01/29/2021
Southern Tier,Steuben,5908,1148,01/29/2021
Long Island,Suffolk,107126,29503,01/29/2021
Mid-Hudson,Sullivan,4843,1429,01/29/2021
Southern Tier,Tioga,2680,599,01/29/2021
Southern Tier,Tompkins,8146,1634,01/29/2021
Mid-Hudson,Ulster,13312,2479,01/29/2021
Capital Region,Warren,5908,1396,01/29/2021
Capital Region,Washington,3906,921,01/29/2021
Finger Lakes,Wayne,6514,1748,01/29/2021
Mid-Hudson,Westchester,85887,20030,01/29/2021
Finger Lakes,Wyoming,3133,819,01/29/2021
Finger Lakes,Yates,1884,392,01/29/2021
Capital Region,Albany,27995,8844,01/30/2021
Western New York,Allegany,2344,389,01/30/2021
New York City,Bronx,65939,15506,01/30/2021
Southern Tier,Broome,17730,3749,01/30/2021
Western New York,Cattaraugus,4718,1034,01/30/2021
Central New York,Cayuga,7155,1325,01/30/2021
Western New York,Chautauqua,9229,1745,01/30/2021
Southern Tier,Chemung,6965,1707,01/30/2021
Southern Tier,Chenango,3203,810,01/30/2021
North Country,Clinton,10010,2035,01/30/2021
Capital Region,Columbia,4795,941,01/30/2021
Central New York,Cortland,3510,663,01/30/2021
Southern Tier,Delaware,2364,513,01/30/2021
Mid-Hudson,Dutchess,18798,4533,01/30/2021
Western New York,Erie,82805,20608,01/30/2021
North Country,Essex,4172,831,01/30/2021
North Country,Franklin,5449,1661,01/30/2021
Mohawk Valley,Fulton,3960,852,01/30/2021
Finger Lakes,Genesee,4862,909,01/30/2021
Capital Region,Greene,3423,561,01/30/2021
North Country,Hamilton,1229,67,01/30/2021
Mohawk Valley,Herkimer,5901,1197,01/30/2021
North Country,Jefferson,9182,2853,01/30/2021
New York City,Kings,117924,23633,01/30/2021
North Country,Lewis,2396,562,01/30/2021
Finger Lakes,Livingston,6103,1434,01/30/2021
Central New York,Madison,6315,1689,01/30/2021
Finger Lakes,Monroe,65090,20462,01/30/2021
Mohawk Valley,Montgomery,4389,1241,01/30/2021
Long Island,Nassau,135145,30880,01/30/2021
New York City,New York,153238,34648,01/30/2021
Western New York,Niagara,17944,4056,01/30/2021
Mohawk Valley,Oneida,23244,6333,01/30/2021
Central New York,Onondaga,49473,11260,01/30/2021
Finger Lakes,Ontario,10135,2848,01/30/2021
Mid-Hudson,Orange,19445,5185,01/30/2021
Finger Lakes,Orleans,2288,578,01/30/2021
Central New York,Oswego,10203,1890,01/30/2021
Mohawk Valley,Otsego,5710,2142,01/30/2021
Mid-Hudson,Putnam,7219,1584,01/30/2021
New York City,Queens,136330,29358,01/30/2021
Capital Region,Rensselaer,13566,3751,01/30/2021
New York City,Richmond,40674,6545,01/30/2021
Mid-Hudson,Rockland,26253,4801,01/30/2021
Capital Region,Saratoga,20953,5062,01/30/2021
Capital Region,Schenectady,13292,3901,01/30/2021
Mohawk Valley,Schoharie,1865,409,01/30/2021
Southern Tier,Schuyler,1589,436,01/30/2021
Finger Lakes,Seneca,2631,401,01/30/2021
North Country,St. Lawrence,13622,2652,01/30/2021
Southern Tier,Steuben,6058,1174,01/30/2021
Long Island,Suffolk,109936,30673,01/30/2021
Mid-Hudson,Sullivan,4920,1436,01/30/2021
Southern Tier,Tioga,2738,627,01/30/2021
Southern Tier,Tompkins,8189,1644,01/30/2021
Mid-Hudson,Ulster,13398,2623,01/30/2021
Capital Region,Warren,6072,1437,01/30/2021
Capital Region,Washington,4154,933,01/30/2021
Finger Lakes,Wayne,6961,1807,01/30/2021
Mid-Hudson,Westchester,87821,21398,01/30/2021
Finger Lakes,Wyoming,3149,824,01/30/2021
Finger Lakes,Yates,1924,409,01/30/2021
Capital Region,Albany,28595,9353,01/31/2021
Western New York,Allegany,2348,389,01/31/2021
New York City,Bronx,66928,15943,01/31/2021
Southern Tier,Broome,18108,3866,01/31/2021
Western New York,Cattaraugus,4728,1038,01/31/2021
Central New York,Cayuga,7246,1330,01/31/2021
Western New York,Chautauqua,9304,1750,01/31/2021
Southern Tier,Chemung,7114,1713,01/31/2021
Southern Tier,Chenango,3266,851,01/31/2021
North Country,Clinton,10240,2066,01/31/2021
Capital Region,Columbia,4840,947,01/31/2021
Central New York,Cortland,3540,682,01/31/2021
Southern Tier,Delaware,2440,517,01/31/2021
Mid-Hudson,Dutchess,18978,4611,01/31/2021
Western New York,Erie,84176,21159,01/31/2021
North Country,Essex,4253,834,01/31/2021
North Country,Franklin,5548,1662,01/31/2021
Mohawk Valley,Fulton,3999,854,01/31/2021
Finger Lakes,Genesee,4884,918,01/31/2021
Capital Region,Greene,3452,581,01/31/2021
North Country,Hamilton,1229,69,01/31/2021
Mohawk Valley,Herkimer,5977,1199,01/31/2021
North Country,Jefferson,9807,2859,01/31/2021
New York City,Kings,121065,24340,01/31/2021
North Country,Lewis,2465,562,01/31/2021
Finger Lakes,Livingston,6132,1438,01/31/2021
Central New York,Madison,6422,1698,01/31/2021
Finger Lakes,Monroe,66034,20563,01/31/2021
Mohawk Valley,Montgomery,4430,1251,01/31/2021
Long Island,Nassau,138094,32047,01/31/2021
New York City,New York,155654,35130,01/31/2021
Western New York,Niagara,18137,4102,01/31/2021
Mohawk Valley,Oneida,23526,6351,01/31/2021
Central New York,Onondaga,51205,11341,01/31/2021
Finger Lakes,Ontario,10205,2853,01/31/2021
Mid-Hudson,Orange,19614,5670,01/31/2021
Finger Lakes,Orleans,2358,644,01/31/2021
Central New York,Oswego,10301,1897,01/31/2021
Mohawk Valley,Otsego,5919,2144,01/31/2021
Mid-Hudson,Putnam,7326,1661,01/31/2021
New York City,Queens,138992,30067,01/31/2021
Capital Region,Rensselaer,14157,3922,01/31/2021
New York City,Richmond,41380,6776,01/31/2021
Mid-Hudson,Rockland,26715,4865,01/31/2021
Capital Region,Saratoga,21502,5269,01/31/2021
Capital Region,Schenectady,13545,4245,01/31/2021
Mohawk Valley,Schoharie,1904,413,01/31/2021
Southern Tier,Schuyler,1631,439,01/31/2021
Finger Lakes,Seneca,2647,407,01/31/2021
North Country,St. Lawrence,14066,2727,01/31/2021
Southern Tier,Steuben,6135,1179,01/31/2021
Long Island,Suffolk,112124,31356,01/31/2021
Mid-Hudson,Sullivan,5057,1457,01/31/2021
Southern Tier,Tioga,2795,641,01/31/2021
Southern Tier,Tompkins,8271,1698,01/31/2021
Mid-Hudson,Ulster,13610,2777,01/31/2021
Capital Region,Warren,6210,1590,01/31/2021
Capital Region,Washington,4197,992,01/31/2021
Finger Lakes,Wayne,7031,1814,01/31/2021
Mid-Hudson,Westchester,89406,22359,01/31/2021
Finger Lakes,Wyoming,3158,826,01/31/2021
Finger Lakes,Yates,1932,409,01/31/2021
Capital Region,Albany,29193,10017,02/01/2021
Western New York,Allegany,2390,491,02/01/2021
New York City,Bronx,67622,16432,02/01/2021
Southern Tier,Broome,18796,4396,02/01/2021
Western New York,Cattaraugus,4812,1107,02/01/2021
Central New York,Cayuga,7391,1451,02/01/2021
Western New York,Chautauqua,9470,1782,02/01/2021
Southern Tier,Chemung,7303,1771,02/01/2021
Southern Tier,Chenango,3403,905,02/01/2021
North Country,Clinton,10547,2245,02/01/2021
Capital Region,Columbia,4894,974,02/01/2021
Central New York,Cortland,3597,759,02/01/2021
Southern Tier,Delaware,2470,540,02/01/2021
Mid-Hudson,Dutchess,19202,4849,02/01/2021
Western New York,Erie,86176,22664,02/01/2021
North Country,Essex,4412,953,02/01/2021
North Country,Franklin,5768,1738,02/01/2021
Mohawk Valley,Fulton,4043,903,02/01/2021
Finger Lakes,Genesee,4953,991,02/01/2021
Capital Region,Greene,3484,602,02/01/2021
North Country,Hamilton,1231,74,02/01/2021
Mohawk Valley,Herkimer,6090,1303,02/01/2021
North Country,Jefferson,9977,2880,02/01/2021
New York City,Kings,122356,25331,02/01/2021
North Country,Lewis,2556,582,02/01/2021
Finger Lakes,Livingston,6175,1497,02/01/2021
Central New York,Madison,6593,1788,02/01/2021
Finger Lakes,Monroe,67514,21700,02/01/2021
