Region,County,First Dose,Series Complete,Report as of
Western New York,Niagara,19380,5933,02/04/2021
Mohawk Valley,Oneida,25845,8463,02/04/2021
Central New York,Onondaga,56697,15087,02/04/2021
Finger Lakes,Ontario,11215,3757,02/04/2021
Mid-Hudson,Orange,21067,7735,02/04/2021
Finger Lakes,Orleans,2629,829,02/04/2021
Central New York,Oswego,11258,2651,02/04/2021
Mohawk Valley,Otsego,6390,2561,02/04/2021
Mid-Hudson,Putnam,7985,2564,02/04/2021
New York City,Queens,150373,38826,02/04/2021
Capital Region,Rensselaer,16081,4925,02/04/2021
New York City,Richmond,43973,9308,02/04/2021
Mid-Hudson,Rockland,28131,7289,02/04/2021
Capital Region,Saratoga,23609,7866,02/04/2021
Capital Region,Schenectady,14768,5320,02/04/2021
Mohawk Valley,Schoharie,2019,623,02/04/2021
Southern Tier,Schuyler,1693,539,02/04/2021
Finger Lakes,Seneca,2988,572,02/04/2021
North Country,St. Lawrence,15887,4621,02/04/2021
Southern Tier,Steuben,6695,1957,02/04/2021
Long Island,Suffolk,123127,42181,02/04/2021
Mid-Hudson,Sullivan,5329,1915,02/04/2021
Southern Tier,Tioga,3165,1034,02/04/2021
Southern Tier,Tompkins,8966,2697,02/04/2021
Mid-Hudson,Ulster,14398,4204,02/04/2021
Capital Region,Warren,6678,2377,02/04/2021
Capital Region,Washington,4410,1459,02/04/2021
Finger Lakes,Wayne,7458,2309,02/04/2021
Mid-Hudson,Westchester,95588,31160,02/04/2021
Finger Lakes,Wyoming,3309,1253,02/04/2021
Finger Lakes,Yates,2064,603,02/04/2021
Capital Region,Albany,32170,12799,02/05/2021
Western New York,Allegany,2642,973,02/05/2021
New York City,Bronx,75323,23219,02/05/2021
Southern Tier,Broome,21881,6894,02/05/2021
Western New York,Cattaraugus,5443,1680,02/05/2021
Central New York,Cayuga,8127,2234,02/05/2021
Western New York,Chautauqua,10274,2966,02/05/2021
Southern Tier,Chemung,7905,2694,02/05/2021
Southern Tier,Chenango,3796,1279,02/05/2021
North Country,Clinton,12158,3418,02/05/2021
Capital Region,Columbia,5557,1512,02/05/2021
Central New York,Cortland,4040,1384,02/05/2021
Southern Tier,Delaware,2810,920,02/05/2021
Mid-Hudson,Dutchess,21171,7807,02/05/2021
Western New York,Erie,94884,32043,02/05/2021
North Country,Essex,5132,1404,02/05/2021
North Country,Franklin,6616,2283,02/05/2021
Mohawk Valley,Fulton,4435,1695,02/05/2021
Finger Lakes,Genesee,5401,1480,02/05/2021
Capital Region,Greene,3896,994,02/05/2021
North Country,Hamilton,1291,170,02/05/2021
Mohawk Valley,Herkimer,6808,1876,02/05/2021
North Country,Jefferson,11176,3990,02/05/2021
New York City,Kings,138538,35812,02/05/2021
North Country,Lewis,2914,923,02/05/2021
Finger Lakes,Livingston,6793,2375,02/05/2021
Central New York,Madison,7325,2737,02/05/2021
Finger Lakes,Monroe,74045,28334,02/05/2021
Mohawk Valley,Montgomery,4915,2028,02/05/2021
Long Island,Nassau,153189,48992,02/05/2021
New York City,New York,172775,51156,02/05/2021
Western New York,Niagara,20006,6370,02/05/2021
Mohawk Valley,Oneida,26748,8999,02/05/2021
Central New York,Onondaga,57921,16410,02/05/2021
Finger Lakes,Ontario,11706,4122,02/05/2021
Mid-Hudson,Orange,21446,8689,02/05/2021
Finger Lakes,Orleans,2678,859,02/05/2021
Central New York,Oswego,11606,2881,02/05/2021
Mohawk Valley,Otsego,6550,2848,02/05/2021
Mid-Hudson,Putnam,8315,2863,02/05/2021
New York City,Queens,156691,42205,02/05/2021
Capital Region,Rensselaer,16616,5461,02/05/2021
New York City,Richmond,45193,10515,02/05/2021
Mid-Hudson,Rockland,29075,8398,02/05/2021
Capital Region,Saratoga,24434,9067,02/05/2021
Capital Region,Schenectady,15103,5842,02/05/2021
Mohawk Valley,Schoharie,2174,670,02/05/2021
Southern Tier,Schuyler,1820,716,02/05/2021
Finger Lakes,Seneca,3071,670,02/05/2021
North Country,St. Lawrence,16602,4987,02/05/2021
Southern Tier,Steuben,6813,2198,02/05/2021
Long Island,Suffolk,128037,47688,02/05/2021
