Rank,City,Population
522,Lima and Caledonia,"4,154"
523,Ellery,"4,122"
524,Unadilla,"4,116"
525,Cayuga Heights,"4,114"
526,Hamilton village,"4,107"
527,Gorham,"4,106"
528,Chatham,"4,104"
529,Chazy,"4,096"
530,West Monroe,"4,088"
531,Dannemora and Clinton town,"4,037"
532,Hornellsville,"4,034"
533,Alfred village,"4,026"
534,Whitehall,"4,023"
535,Chautauqua,"4,009"
536,Wolcott,"4,002"
537,Chester village,"3,993"
538,Deerfield,"3,983"
539,Sherburne and South Blooming Grove,"3,973"
540,Bethel and Warrensburg,"3,959"
541,Hopewell,"3,931"
542,Athens and Elmira Heights,"3,916"
543,Saugerties village,"3,899"
544,Hartland,"3,874"
545,Saranac,"3,852"
546,Montgomery village,"3,834"
547,Yorkshire,"3,827"
548,Pomona,"3,824"
549,Stockholm,"3,816"
550,Sandy Creek,"3,813"
551,Tuxedo,"3,811"
552,Sloan,"3,775"
553,Amenia,"3,769"
554,Dix,"3,757"
555,Catskill village,"3,745"
556,South Glens Falls,"3,744"
557,Alexandria and Greenville,"3,741"
558,Floyd,"3,733"
559,Wayland,"3,732"
560,Sidney village,"3,697"
561,Spencerport,"3,685"
562,Highland Falls,"3,684"
563,Stanford,"3,682"
564,Canajoharie,"3,660"
565,Fayette and Minoa,"3,657"
566,Owego village,"3,654"
567,Lansing village,"3,648"
568,Warsaw village,"3,646"
569,Argyle,"3,644"
570,Newark Valley,"3,642"
571,Otsego,"3,641"
572,East Bloomfield,"3,640"
573,Livingston,"3,628"
574,Oxford,"3,614"
575,Whitesboro,"3,612"
576,Norwich town,"3,599"
577,Perth,"3,584"
578,Mohawk,"3,572"
579,Lloyd Harbor,"3,571"
580,Islandia,"3,567"
581,Owasco,"3,552"
582,Perry village,"3,536"
583,Gouverneur village,"3,526"
584,Galway,"3,525"
585,Muttontown,"3,512"
586,Portville and North Collins,"3,504"
587,Lake George,"3,502"
588,Rush,"3,490"
589,Geneva town,"3,473"
590,Palermo,"3,470"
591,Mooers,"3,467"
592,Carroll,"3,456"
593,Danby,"3,421"
594,Starkey,"3,407"
595,Avon village,"3,399"
596,Neversink,"3,366"
597,Enfield,"3,362"
598,Richmond,"3,360"
599,Veteran,"3,355"
600,Ellisburg,"3,352"
601,Copake,"3,346"
602,Pamelia,"3,343"
603,Middletown,"3,336"
604,Caroline,"3,334"
605,Moravia,"3,323"
606,Clarendon,"3,315"
607,Palmyra village,"3,305"
608,Sennett,"3,304"
609,Schuyler,"3,296"
610,Canisteo,"3,295"
611,Rockland,"3,290"
612,Dannemora village,"3,287"
613,Tupper Lake village,"3,282"
614,Hounsfield and Holland,"3,281"
615,White Creek,"3,275"
616,Lowville village,"3,272"
617,Ravena,"3,271"
618,Shelter Island,"3,253"
619,New York Mills,"3,244"
620,Carthage,"3,236"
621,Bennington,"3,235"
622,Gaines and New Baltimore,"3,226"
623,Sterling,"3,221"
624,Hoosick Falls,"3,216"
625,Homer village,"3,210"
626,Romulus,"3,203"
627,Croghan,"3,197"
628,Westerlo,"3,194"
629,Palatine,"3,189"
630,Au Sable,"3,183"
631,York,"3,182"
632,Brightwaters,"3,181"
633,Campbell and Port Washington North,"3,160"
634,Maybrook,"3,150"
635,Oakfield,"3,145"
636,Cuba,"3,126"
637,Colden,"3,121"
638,Bergen,"3,120"
639,Middleburgh,"3,112"
640,Fort Edward village and Orchard Park village,"3,108"
641,Schoharie,"3,107"
642,Chester town,"3,086"
643,Manheim,"3,082"
644,Lake Luzerne,"3,079"
645,East Syracuse,"3,078"
646,Sherrill,"3,077"
647,Cornwall-on-Hudson,"3,075"
648,Bainbridge,"3,060"
649,Louisville,"3,050"
650,Rutland,"3,038"
651,Sloatsburg,"3,036"
652,Hunter,"3,035"
653,Darien,"3,010"
654,Wales,"3,009"
655,Lakewood,"3,002"
656,Greenwood Lake,"2,994"
657,Great Neck Estates,"2,990"
658,Callicoon,"2,989"
659,Roslyn,"2,988"
660,Benton,"2,985"
661,North East,"2,971"
662,Spencer,"2,968"
663,Davenport,"2,955"
664,Brookville,"2,939"
665,Green Island,"2,934"
666,New Haven,"2,931"
667,Moira,"2,916"
668,Westfield village,"2,910"
669,Mount Morris village,"2,898"
670,Florida village and Akron,"2,888"
671,Walton village,"2,885"
672,Shandaken,"2,866"
673,Ovid,"2,847"
674,Voorheesville,"2,841"
675,Carlton,"2,835"
676,Lake Success,"2,828"
677,Milford,"2,827"
678,Munsey Park and Triangle,"2,809"
679,Franklinville,"2,802"
680,Stephentown,"2,791"
681,Orleans,"2,788"
682,New Bremen,"2,785"
683,Sag Harbor,"2,772"
684,Afton,"2,769"
685,Cazenovia village,"2,767"
686,Madison,"2,766"
687,Cape Vincent,"2,765"
688,Hancock,"2,764"
689,Thomaston,"2,759"
690,Otego,"2,756"
691,Coxsackie village,"2,746"
692,Victor village,"2,744"
693,Guilford,"2,741"
694,West Bloomfield,"2,740"
695,Delhi village,"2,721"
696,Sardinia,"2,716"
697,Harriman,"2,714"
698,Sands Point,"2,712"
699,Castile,"2,711"
700,Honeoye Falls,"2,706"
701,South Nyack,"2,699"
702,Rhinebeck village,"2,697"
703,Lisle,"2,691"
704,Berne,"2,689"
705,Nunda,"2,688"
706,Tully,"2,676"
707,Stockport,"2,670"
708,Florida,"2,667"
709,Altona,"2,666"
710,Yorkville,"2,657"
711,Theresa,"2,648"
712,East Williston,"2,645"
713,Seneca,"2,644"
714,Annsville,"2,639"
715,Knox,"2,635"
716,Brasher and Durham,"2,627"
717,Denmark,"2,626"
718,Silver Creek and Kendall,"2,617"
719,Salem,"2,612"
720,Aurelius,"2,611"
721,Alden village,"2,604"
722,St. Johnsville,"2,598"
723,Somerset,"2,597"
724,Greenport village,"2,583"
725,Yates,"2,567"
726,Sheridan,"2,564"
727,Corinth village,"2,562"
728,Catlin,"2,541"
729,Blasdell,"2,539"
730,Glen,"2,536"
731,Skaneateles village,"2,533"
732,Lewiston village,"2,531"
733,New Berlin,"2,525"
734,Pierrepont,"2,523"
735,Piermont,"2,517"
736,New Lebanon,"2,514"
737,Gowanda,"2,513"
738,Barker,"2,509"
739,Brewster,"2,508"
740,Alexander,"2,491"
741,Jay,"2,486"
742,Fleming,"2,477"
743,Chesterfield,"2,476"
744,Northampton,"2,472"
745,Randolph,"2,469"
746,Richmondville,"2,466"
747,Whitehall village,"2,465"
748,Attica village,"2,450"
749,Cato,"2,445"
750,Virgil,"2,425"
751,Stafford,"2,424"
752,Mohawk village,"2,415"
753,Granville village,"2,404"
754,Naples,"2,403"
755,Parish,"2,398"
756,Addison,"2,397"
757,De Kalb,"2,375"
758,Otisco,"2,368"
759,Sheldon,"2,367"
760,Chemung,"2,358"
761,Nichols,"2,347"
762,Sangerfield,"2,327"
763,Ripley and Montour,"2,323"
764,Frankfort village and Conesus,"2,320"
765,Groveland,"2,316"
766,Laurens,"2,311"
767,Machias,"2,310"
768,Buchanan and Byron,"2,302"
769,Lyme,"2,299"
770,Caneadea,"2,294"
771,Rose,"2,291"
772,Pavilion,"2,290"
773,Franklin,"2,288"
774,Springwater,"2,286"
775,Bristol,"2,284"
776,Easton,"2,279"
777,"Cohocton, Falconer, and Russia","2,269"
778,Oyster Bay Cove,"2,265"
779,Freedom,"2,261"
780,Roxbury and Brookfield,"2,247"
781,Milan,"2,245"
782,Lumberland,"2,243"
783,Liverpool,"2,242"
784,Sanford,"2,239"
785,Waddington,"2,235"
786,Bangor,"2,231"
787,Springport,"2,227"
788,Phoenix,"2,226"
789,Pine Plains,"2,218"
790,Poland,"2,214"
791,Clifton Springs,"2,209"
792,Persia,"2,207"
793,Lake Placid,"2,205"
794,Delaware and Bellport,"2,203"
795,Highland and Camden village,"2,196"
796,Rouses Point,"2,195"
797,Hartford,"2,193"
798,North Harmony,"2,192"
799,Pulaski,"2,186"
800,Canisteo village,"2,176"
801,Amity and Clyde,"2,171"
802,Fishkill village,"2,166"
803,Elba,"2,164"
804,Covert,"2,163"
805,Westhampton Beach,"2,150"
806,Groton village,"2,145"
807,Johnsburg,"2,143"
808,Fowler and Ira,"2,142"
809,Newport,"2,140"
810,Urbana,"2,122"
811,Harmony,"2,121"
812,Mentz,"2,114"
813,Hinsdale,"2,113"
814,Worcester,"2,112"
815,Lima village,"2,094"
816,Churchville,"2,091"
817,Morristown and Leicester,"2,082"
818,Caledonia village,"2,080"
819,Providence,"2,075"
820,Hume,"2,073"
821,Richfield,"2,065"
822,Clermont,"2,058"
823,Grafton,"2,051"
824,Caton,"2,049"
825,Angola,"2,046"
826,Stockton,"2,044"
827,Crown Point and Dolgeville,"2,042"
828,"Marathon, Parishville, and Waterford village","2,038"
829,Canajoharie village,"2,037"
830,Bolivar,"2,029"
831,Princetown,"2,024"
832,Augusta,"2,021"
833,Boonville village and Old Brookville,"2,020"
834,Upper Nyack,"2,015"
835,Root,"2,013"
836,Bolton,"2,012"
837,"Gainesville, Scottsville, and Albion town","2,009"
838,Fabius,"2,006"
839,Stamford,"2,000"
840,Pawling village,"1,995"
841,Stewart Manor,"1,992"
842,Great Valley,"1,991"
843,Avoca,"1,990"
844,Cold Spring,"1,986"
845,Prattsburgh,"1,983"
846,New Albion,"1,981"
847,Hadley,"1,976"
848,Red Hook village and Philadelphia,"1,975"
849,Java and Stockbridge,"1,972"
850,Marshall,"1,966"
851,Ashford,"1,961"
852,Hartwick and Cambridge,"1,952"
853,Friendship,"1,944"
854,Laurel Hollow,"1,940"
855,Germantown,"1,936"
856,Stuyvesant,"1,931"
857,Fort Plain,"1,930"
858,Brant,"1,912"
859,Arcade village,"1,908"
860,Edmeston,"1,907"
861,Willsboro,"1,905"
862,Winfield,"1,897"
863,Nelson,"1,890"
864,Dryden village,"1,887"
865,Middlefield,"1,882"
866,Lattingtown and Olean town,"1,881"
867,Schroon,"1,880"
868,Locke,"1,879"
869,Huron and Russell,"1,872"
870,Watkins Glen,"1,863"
871,Central Square,"1,862"
872,Youngstown and New Hartford village,"1,859"
873,Potter,"1,858"
874,Phelps village,"1,851"
875,Barre,"1,843"
876,Ellenburg,"1,842"
877,Butler and Dansville,"1,835"
878,"Western, Throop, and Hillsdale","1,831"
879,Salisbury,"1,830"
880,Rensselaerville,"1,826"
881,Genoa,"1,815"
882,Lindley,"1,813"
883,Oakfield village,"1,812"
884,Berlin,"1,808"
885,Erin and Esperance,"1,806"
886,Lincoln and Watson,"1,802"
887,Webb,"1,797"
888,Cooperstown,"1,794"
889,Conquest,"1,791"
890,Cambridge village and Weedsport,"1,788"
891,Upper Brookville and Hebron,"1,786"
892,Valatie and Conewango,"1,785"
893,Gerry and Colchester,"1,782"
894,Bethany and West Carthage,"1,780"
895,Carlisle and Painted Post,"1,768"
896,Remsen,"1,761"
897,Maryland,"1,760"
898,Westville,"1,757"
899,Stillwater village and Holley,"1,754"
900,Clymer,"1,753"
901,Oppenheim,"1,751"
902,Marcellus village,"1,745"
903,Madrid,"1,744"
904,Chateaugay,"1,743"
905,South Floral Park,"1,741"
906,Morris and Village of the Branch,"1,735"
907,Middleport,"1,729"
908,Jackson,"1,723"
909,Reading,"1,719"
910,Lawrence,"1,715"
911,Trumansburg,"1,714"
912,Windham,"1,708"
913,Atlantic Beach,"1,707"
914,Clayton village,"1,705"
915,Port Dickinson,"1,699"
916,Sharon,"1,697"
917,West Turin,"1,692"
918,Dundee and Dayton,"1,690"
919,Hornby,"1,684"
920,Clinton village and Antwerp,"1,683"
921,Wayland village,"1,680"
922,Ephratah,"1,677"
923,Altamont and Little Valley,"1,675"
924,Fenner and Canadice,"1,668"
925,Sodus village,"1,667"
926,Woodhull and Butternuts,"1,665"
927,North Norwich,"1,664"
928,Quogue,"1,662"
929,Varick,"1,656"
930,Ledyard,"1,655"
931,Franklinville village and Victory,"1,652"
932,Catharine and Greenwich village,"1,651"
933,Minetto and St. Johnsville village,"1,643"
934,South Bristol,"1,641"
935,Manchester village,"1,640"
936,Tyrone and Belfast,"1,637"
937,Montour Falls,"1,635"
938,"Adams village, Genesee, and Morrisville","1,633"
939,Savannah,"1,632"
940,Gallatin,"1,628"
941,Austerlitz,"1,625"
942,Sherman,"1,622"
943,Plymouth,"1,619"
944,Andover,"1,615"
945,Scio,"1,614"
946,Diana,"1,610"
947,Alabama,"1,602"
948,Spafford,"1,588"
949,Athens village,"1,586"
950,Seward and Sparta,"1,583"
951,Nanticoke,"1,581"
952,Leyden,"1,572"
953,Canaan,"1,570"
954,Columbia,"1,569"
955,Nissequogue,"1,564"
956,Addison village,"1,561"
957,Wolcott village,"1,556"
958,Norwood,"1,552"
959,Kortright and Allegany village,"1,544"
960,Barrington,"1,541"
961,Van Etten,"1,539"
962,"Fort Covington, Scipio, and Mexico village","1,531"
963,Colton,"1,530"
964,Chatham village,"1,529"
965,Charlotte,"1,527"
966,Head of the Harbor,"1,520"
967,Perrysburg,"1,518"
968,Cuba village and East Hampton village,"1,517"
969,Wright and Coventry,"1,516"
970,Almond,"1,512"
971,Ashland,"1,510"
972,Bridgewater,"1,507"
973,Ellington and Little Falls town,"1,497"
974,Constable,"1,486"
975,Meredith,"1,484"
976,Lodi,"1,482"
977,Berkshire,"1,480"
978,Castleton-on-Hudson and Forestport,"1,477"
979,Fairfield,"1,475"
980,Waterville,"1,473"
981,Livonia village,"1,472"
